Loss Reason,Days Offer Close,Discount code,Price,Use Case_offer,Price Category,Days Lead Offer,Pain,Source,Status_offer
No Loss,0,SAVEMORE50,300.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
price,1,No Discount,150.0,Sports Events,low,-1.0,operations,Unknown,Closed Lost
no response,1,HALFYEAR20G,768.0,Sports Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,0,DISCOUNT50POWER,240.0,Corporate Events,low,0.0,financial control,Inbound,Closed Won
no response,8,SAVEMONTH50G,240.0,Sports Events,low,-1.0,financial control,Unknown,Closed Lost
price,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Lost
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,0.0,operations,Inbound,Closed Won
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,0.0,operations,Outbound,Closed Won
No Loss,1,MONTH50CUTBACK,300.0,Corporate Events,low,1.0,quality of delivery,Outbound,Closed Won
lost to competitor,7,YEARLY30PROMO,1344.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Lost
No Loss,0,HALFYEAR20G,120.0,Sports Events,low,-1.0,financial control,Unknown,Closed Won
No Loss,203,HALFYEAR20G,768.0,Educational Seminars,mid,-1.0,operations,Unknown,Demo 1
No Loss,1,ANNUAL30BONUS,1344.0,Educational Seminars,mid,-1.0,financial control,Unknown,Closed Won
no product fit,6,ANNUAL30BONUS,1344.0,Educational Seminars,mid,2.0,financial control,Outbound,Closed Lost
No Loss,3,YEARLY60,960.0,Educational Seminars,mid,1.0,operations,Inbound,Closed Won
No Loss,132,SAVEMORE50,300.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
No Loss,76,MONTH50REBATE,240.0,Corporate Events,low,2.0,operations,Inbound,Demo 1
No Loss,-1,MONTH50REBATE,240.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,1,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,operations,Unknown,Closed Won
No Loss,0,SAVE25LESS,360.0,Corporate Events,low,224.0,operations,Inbound,Closed Won
no response,9,MONTHSAVE25DEAL,360.0,Corporate Events,low,8.0,quality of delivery,Inbound,Closed Lost
No Loss,0,NOCOSTREG,120.0,Educational Seminars,low,-1.0,financial control,Unknown,Closed Won
No Loss,0,MONTH50REBATE,240.0,Corporate Events,low,-1.0,Unknown,Unknown,Closed Won
No Loss,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,0.0,financial control,Inbound,Closed Won
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,2.0,operations,Outbound,Closed Won
price,13,No Discount,500.0,Educational Seminars,low,-1.0,quality of delivery,Outbound,Closed Lost
lost to competitor,1,MONTHSAVE25DEAL,360.0,Corporate Events,low,0.0,financial control,Outbound,Closed Lost
No Loss,68,No Discount,360.0,Corporate Events,low,258.0,Unknown,Outbound,Demo 1
lost to competitor,0,No Discount,334.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Lost
No Loss,0,No Discount,600.0,Corporate Events,mid,0.0,Unknown,Inbound,Closed Won
No Loss,0,ANNUAL60DEAL,960.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,30,HALFYEAR20G,768.0,Sports Events,mid,0.0,quality of delivery,Outbound,Closed Won
No Loss,112,No Discount,360.0,Sports Events,low,92.0,operations,Inbound,Demo 1
no response,321,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,13,MONTHSAVE25DEAL,360.0,Corporate Events,low,4.0,Unknown,Outbound,Closed Won
No Loss,76,No Discount,360.0,Sports Events,low,-1.0,operations,Unknown,Demo 1
No Loss,76,QUARTERSAVE25,450.0,Educational Seminars,low,278.0,financial control,Inbound,Demo 1
no product fit,0,25GIFT,360.0,Educational Seminars,low,8.0,financial control,Outbound,Closed Lost
No Loss,0,GIVEAWAYFREE,120.0,Sports Events,low,-1.0,Unknown,Unknown,Closed Won
No Loss,33,No Discount,360.0,Corporate Events,low,1.0,quality of delivery,Outbound,Demo 1
No Loss,31,YEARLY30PROMO,1344.0,Corporate Events,mid,181.0,operations,Outbound,Closed Won
No Loss,0,YEARLY60,960.0,Sports Events,mid,-1.0,Unknown,Unknown,Closed Won
No Loss,-1,3QUARTERS75CUT,120.0,Corporate Events,low,0.0,operations,Inbound,Closed Won
no response,0,No Discount,360.0,Wedding Planning,low,-1.0,Unknown,Unknown,Closed Lost
No Loss,0,HALFYEAR20G,768.0,Educational Seminars,mid,90.0,Unknown,Outbound,Negotiation
No Loss,0,RENEW30YEARLY,1008.0,Corporate Events,mid,-1.0,operations,Unknown,Closed Won
No Loss,0,MONTH50CUTBACK,300.0,Corporate Events,low,-1.0,Unknown,Unknown,Checkbox
no product fit,0,DISCOUNT50POWER,240.0,Corporate Events,low,0.0,financial control,Outbound,Closed Lost
no response,6,ANNUAL30BONUS,1344.0,Educational Seminars,mid,0.0,quality of delivery,Outbound,Closed Lost
no response,1,No Discount,0.0,Corporate Events,low,-1.0,financial control,Unknown,Closed Lost
no response,6,MONTH50REBATE,240.0,Educational Seminars,low,105.0,operations,Inbound,Closed Lost
No Loss,0,YEARLY60,960.0,Sports Events,mid,674.0,Unknown,Inbound,Negotiation
No Loss,0,2SEMESTERS20OFF,768.0,Corporate Events,mid,-1.0,financial control,Inbound,Closed Won
lost to competitor,5,No Discount,200.0,Educational Seminars,low,-1.0,time saving,Unknown,Closed Lost
No Loss,4,SAVEMORE50,300.0,Educational Seminars,low,-1.0,operations,Unknown,Closed Won
